labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Trade Database (Postgres),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A normalised, production-standard PostgreSQL schema forms the transactional source of truth for the platform. \\ * Core tables (accounts, instruments, orders, positions) are created with keys, constraints and indexes. \\ * The schema is version controlled as migration files and every team member can explain the model. \\  \\ *Notes:* \\  \\ * This is the data foundation every later component builds on; it converges on contracts/database-schema.sql. \\ * Returning-intern run: fundamentals of business software development are recapped inside this sprint, not taught from scratch. \\ * Historical trade structures are delivered as a documented design here, not a built implementation. \\ * Snowflake is introduced as the analytics warehouse Postgres will later feed. \\ * Security focus: parameterised queries (OWASP A03), schema constraints, least-privilege DB roles, no secrets in connection config.",Sprint 3,S3 Trade Database,
LEAP1T1,Conceptual Data Model & ER Diagram,Story,Medium,"*Acceptance Criteria:* \\  \\ * Entities, attributes and relationships for the trading domain are identified. \\ * An entity-relationship diagram documents accounts, instruments, orders and positions. \\  \\ *Tasks:* \\  \\ Identify the core entities (Account, Instrument, Order, Position) and their relationships. \\  \\ Model cardinality and optionality between entities. \\  \\ Commit the ER diagram alongside a short data dictionary. \\  \\ *Notes:* \\  \\ * Every team member must be able to walk the diagram unaided at showcase.",Sprint 3,,S3 Trade Database
LEAP1T1,Normalised Relational Schema (1NF-3NF),Story,Medium,"*Acceptance Criteria:* \\  \\ * The schema is normalised to third normal form with no redundant or transitive dependencies. \\ * Any deliberate denormalisation is documented with rationale. \\  \\ *Tasks:* \\  \\ Translate the ER diagram into a normalised relational design (1NF, 2NF, 3NF). \\  \\ Document any justified denormalisation for query performance. \\  \\ *Notes:* \\  \\ * Third normal form is mandatory for this run and is not traded away for time.",Sprint 3,,S3 Trade Database
LEAP1T1,Core Tables & Constraints,Story,Medium,"*Acceptance Criteria:* \\  \\ * ACCOUNTS, INSTRUMENTS, ORDERS and POSITIONS tables exist with correct column types. \\ * Primary keys, foreign keys, unique constraints and check constraints enforce integrity. \\  \\ *Tasks:* \\  \\ Create the ACCOUNTS table (id BIGINT PK, account_id VARCHAR UNIQUE, holder_name, cash_balance NUMERIC(18,2), status, version, last_updated). \\  \\ Create the ORDERS table (id UUID PK, account_id FK, symbol FK, side, quantity, price, status, idempotency_key UNIQUE, created_on). \\  \\ Create INSTRUMENTS (symbol PK, name, asset_class, currency, tradable) and POSITIONS (account_id FK, symbol FK, quantity, average_cost). \\  \\ Add check constraints (quantity > 0, price > 0, status enumerations) and a unique constraint on idempotency_key. \\  \\ Capture the DDL as version-controlled migration files so the database can be recreated. \\  \\ *Notes:* \\  \\ * The unique constraint on idempotency_key is mandatory; the executor depends on it in Sprint 7. \\ * Use least-privilege roles for the application connection; no superuser credentials in config.",Sprint 3,,S3 Trade Database
LEAP1T1,Indexes for Query Performance,Story,Low,"*Acceptance Criteria:* \\  \\ * At least three indexes support the common access patterns, each justified by a named query. \\  \\ *Tasks:* \\  \\ Add indexes on ORDERS(account_id, created_on) and POSITIONS(account_id, symbol) and lookups by symbol. \\  \\ Verify index usage with EXPLAIN on the representative queries.",Sprint 3,,S3 Trade Database
LEAP1T1,Historical Trade Data Design (Documented),Story,Medium,*Acceptance Criteria:* \\  \\ * A documented design covers how historical trade records are retained alongside the live operational tables. \\  \\ *Tasks:* \\  \\ Design structures to retain historical trade records for analytics and audit. \\  \\ Document how historical data would be populated and queried. \\  \\ *Notes:* \\  \\ * Reduced for this run to a documented design rather than a built implementation.,Sprint 3,,S3 Trade Database
LEAP1T1,Seed Data Load,Story,Low,"*Acceptance Criteria:* \\  \\ * Seed data loads with one command and covers active, suspended and closed accounts. \\ * Representative accounts, instruments, orders and positions are queryable and referentially intact. \\  \\ *Tasks:* \\  \\ Author a seed-data script inserting realistic accounts, instruments and trades. \\  \\ Confirm referential integrity holds after loading. \\  \\ *Notes:* \\  \\ * Seed data must be rich enough to support the Sprint 4 analytics work.",Sprint 3,,S3 Trade Database
LEAP1T1,Analytics & ETL (Python),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A Python dashboard surfaces at least three business insights over a realistic trading dataset. \\ * Ingestion is structured as a testable extract, transform, load pipeline. \\ * Data is accessed through the Fauxnance API, orienting teams to the operational versus analytical split. \\  \\ *Notes:* \\  \\ * First orientation to the Fidelity data landscape (operational Postgres versus analytical Snowflake). \\ * The dataset must include at least two NSE or BSE instruments so the cohort trades a market they know. \\ * The Fauxnance key is read from the environment, never committed, and the browser never calls Fauxnance. \\ * Security focus: validation and data-quality checks (OWASP A08), safe handling of sensitive financial data, pytest guards.",Sprint 4,S4 Analytics & ETL,
LEAP1T1,Add Realistic Sample Trading Dataset,Story,Medium,"*Acceptance Criteria:* \\  \\ * A realistic sample trading dataset is added, including at least two NSE or BSE instruments. \\  \\ *Tasks:* \\  \\ Source or generate a representative dataset covering trades, accounts and instruments. \\  \\ Include Indian symbols such as INFY.NS, RELIANCE.NS or TATASTEEL.BO alongside the others. \\  \\ Document the dataset schema and provenance.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Exploratory Data Analysis & Cleaning,Story,Medium,"*Acceptance Criteria:* \\  \\ * Patterns, anomalies and segments are explored and summarised. \\ * Missing values, incorrect types, malformed dates and outliers are handled explicitly. \\  \\ *Tasks:* \\  \\ Load the dataset with pandas and profile distributions, ranges and null patterns. \\  \\ Implement cleaning transforms for missing values, type coercion, date parsing and outlier treatment. \\  \\ Record every cleaning decision so results are reproducible. \\  \\ *Notes:* \\  \\ * Merged for this run: returning interns hold the pandas basics, so profiling and cleaning ship as one applied task.",Sprint 4,,S4 Analytics & ETL
