labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Trade Database (Postgres),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A normalised, production-standard PostgreSQL schema forms the transactional source of truth for the platform. \\ * Core tables (accounts, instruments, orders, positions) are created with keys, constraints and indexes. \\ * Historical trade structures and representative seed data are in place; each team member can explain the model. \\  \\ *Notes:* \\  \\ * This is the data foundation every later component builds on. \\ * Snowflake (OLAP) is introduced here as the analytics warehouse Postgres will later feed. \\ * Security focus: parameterised queries (OWASP A03), schema constraints, least-privilege DB roles, no secrets in connection config.",Sprint 3,S3 Trade Database,
LEAP1T1,Conceptual Data Model & ER Diagram,Story,Medium,"*Acceptance Criteria:* \\  \\ * Entities, attributes and relationships for the trading domain are identified. \\ * A clear entity-relationship diagram documents accounts, instruments, orders and positions. \\  \\ *Tasks:* \\  \\ Identify the core entities from the project brief (Account, Instrument, Order, Position) and their relationships. \\  \\ Model cardinality and optionality between entities. \\  \\ Produce an ER diagram and commit it to the repository alongside a short data-dictionary. \\  \\ *Notes:* \\  \\ * Each team member must be able to explain the model at showcase.",Sprint 3,,S3 Trade Database
LEAP1T1,Normalised Relational Schema (1NF-3NF),Story,Medium,"*Acceptance Criteria:* \\  \\ * The schema is normalised to third normal form with no redundant or transitive dependencies. \\ * Design decisions and any deliberate denormalisation are documented with rationale. \\  \\ *Tasks:* \\  \\ Translate the ER diagram into a normalised relational design (1NF, 2NF, 3NF). \\  \\ Document any justified denormalisation for query performance.",Sprint 3,,S3 Trade Database
LEAP1T1,Core Tables & Constraints,Story,Medium,"*Acceptance Criteria:* \\  \\ * ACCOUNTS, INSTRUMENTS, ORDERS and POSITIONS tables exist with correct column types. \\ * Primary keys, foreign keys, unique constraints and check constraints enforce integrity. \\  \\ *Tasks:* \\  \\ Create the ACCOUNTS table (id BIGINT PK, account_id VARCHAR UNIQUE, holder_name, cash_balance NUMERIC(18,2), status, version, last_updated). \\  \\ Create the ORDERS table (id UUID PK, account_id FK, symbol FK, side, quantity, price, status, idempotency_key UNIQUE, created_on). \\  \\ Create INSTRUMENTS (symbol PK, name, asset_class, currency, tradable) and POSITIONS (account_id FK, symbol FK, quantity, average_cost). \\  \\ Add check constraints (quantity > 0, price > 0, status enumerations) and a unique constraint on idempotency_key. \\  \\ Capture the DDL in a version-controlled script so the database can be recreated. \\  \\ *Notes:* \\  \\ * Use least-privilege roles for the application connection; no superuser credentials in config.",Sprint 3,,S3 Trade Database
LEAP1T1,Indexes for Query Performance,Story,Low,"*Acceptance Criteria:* \\  \\ * Indexes support the common access patterns (order history by account, positions by account, lookups by symbol). \\  \\ *Tasks:* \\  \\ Add indexes on ORDERS(account_id, created_on) and POSITIONS(account_id, symbol). \\  \\ Verify index usage with EXPLAIN on representative queries.",Sprint 3,,S3 Trade Database
LEAP1T1,Historical Trade Data Structures,Story,Medium,*Acceptance Criteria:* \\  \\ * The schema supports historical trade data alongside the live operational tables. \\  \\ *Tasks:* \\  \\ Design and create structures to retain historical trade records for analytics and audit. \\  \\ Document how historical data is populated and queried.,Sprint 3,,S3 Trade Database
LEAP1T1,Seed Data Load,Story,Low,"*Acceptance Criteria:* \\  \\ * Representative accounts, instruments, orders and positions are loaded and queryable. \\  \\ *Tasks:* \\  \\ Author a seed-data script inserting realistic accounts, instruments and trades. \\  \\ Confirm referential integrity holds after loading. \\  \\ *Notes:* \\  \\ * Seed data should cover active, suspended and closed accounts and be rich enough to support the Sprint 4 analytics work.",Sprint 3,,S3 Trade Database
LEAP1T1,Analytics & ETL (Python),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A Python dashboard surfaces at least three business insights over a realistic trading dataset. \\ * Data ingestion is structured as a simple, testable extract-transform-load pipeline. \\ * Data is accessed through APIs and a data-source connection, orienting teams to the operational vs analytical split. \\  \\ *Notes:* \\  \\ * First orientation to the Fidelity data landscape (operational Postgres vs analytical Snowflake). \\ * Security focus: validation and data-quality checks (OWASP A08), safe handling of sensitive financial data, pytest guards.",Sprint 4,S4 Analytics & ETL,
LEAP1T1,Add Realistic Sample Trading Dataset,Story,Medium,"*Acceptance Criteria:* \\  \\ * A realistic sample trading dataset is added to support analysis. \\  \\ *Tasks:* \\  \\ Source or generate a representative dataset covering trades, accounts and instruments. \\  \\ Document the dataset schema and provenance.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Exploratory Data Analysis,Story,Medium,"*Acceptance Criteria:* \\  \\ * Patterns, anomalies and segments in the dataset are explored and summarised. \\  \\ *Tasks:* \\  \\ Load the dataset with pandas and profile distributions, ranges and null patterns. \\  \\ Produce a one-page EDA summary of findings.",Sprint 4,,S4 Analytics & ETL
